x_victim,y_victim,x_killer,y_killer
2458.9191497079664,5221.686339004071,2446.501140928576,5232.690861051811
3916.8613018105348,3948.969144683469,3911.973470653258,3953.049762132936
2503.2015509765906,5187.393717172262,2500.6327729588897,5235.926304102196
5124.8241450388605,5206.095475256188,5119.189335320257,5191.4225700427205
1956.1128526645768,5211.688559586863,1985.9022698473777,5140.195087757138
1587.246933218301,5003.879814020063,1673.7345643760677,5073.467721892838
5632.548390812768,4585.822799453923,5635.9096374763785,4592.818547013365
3895.7015105355135,4087.2665312094823,3923.003718128142,4106.738169759388
2491.549030517082,5143.9946078563535,2474.125857534663,5164.529145761898
3885.3595750990808,4132.875203737246,3920.6143906510033,4102.295200256862
1611.8169122134505,3244.1868720909997,1604.3417932799184,3233.5845451359187
6722.285014007319,6781.636711674726,6721.1901147301105,6779.624481312546
3970.8078362553033,5504.538665346408,3969.864152293744,5508.105087977726
4977.541368771155,4255.5867461109165,4981.194693150262,4223.961411859284
1560.8968801547055,5907.181756907458,1584.1573721633035,5884.756086382141
2418.0812890164484,5203.000580880929,2433.8431327374196,5156.780458871424
7103.482511072277,4451.717716378146,7122.314151190806,4412.175852510165
3968.3551363844695,5496.511077178732,3971.483913029625,5505.1880755194225
1770.4188764243224,5100.50734189377,1670.292690459092,5060.085793907368
7100.685341457496,4445.761338820248,7084.72365508908,4467.453834671974
4263.371511344335,4198.859042012152,4269.224046019495,4175.284197832849
3900.032480312548,3967.646745963858,3896.397038242553,3962.1553084428715
5004.049852818988,5483.633304820331,4995.069796397558,5484.406322533523
1421.3816142607493,4351.542589356399,1301.22151661393,4420.088303705138
5128.776449077331,2721.5767020178873,5124.500067401796,2718.9734142808475
2819.290972326048,7068.2229896495355,2818.241563133424,7077.464065039057
7090.330543307492,2482.0885046850376,7086.838159710393,2484.3829304339943
4857.481114016878,3096.0532743792296,4853.481437545496,3081.216918585984
6831.151256982213,3769.8859757696673,6825.807897529663,3781.026340621714
3788.955732951635,5479.827196501969,3797.5188492185066,5522.095328197725
6812.438832257764,4329.549545221703,7106.639836667067,4449.916309028655
2849.732936929076,6844.3515383540725,2848.658743483472,6837.041752348646
3809.2584282881658,4637.940632498449,3810.464699841422,4633.285898809071
5799.754882953718,4650.275033639624,5780.467087090473,4626.868659635638
3945.44695723785,3888.008666645425,3957.44504547783,3854.787414736729
4605.225732289872,3640.680645390575,4566.090769385369,3695.669059634658
6486.44370969679,3271.430099436031,6618.337347212384,3143.9618628385715
1617.9651324384008,3560.9189585319646,1598.4108274244427,3635.0565023124946
4098.646581748574,3941.3826534738887,4125.333575162806,3916.86255670942
1234.4857586133367,4179.808422038182,1234.7700716419813,4351.007374981924
4993.381016222999,4266.599425001409,4994.1957593241195,4261.242261661123
3074.0345048173904,3017.748838850885,3082.484052735165,2979.7925397241675
2624.234822953865,5458.461288085078,2614.963629991103,5473.328075176286
5191.887196354911,4508.569655466531,5261.017066134642,4507.363697637996
4388.755047169002,5910.511631098943,4449.263447883706,5906.832267567972
4794.510601689702,6884.12618596523,4795.922362935385,6872.470057671428
4801.2161538819755,5129.89676005696,4826.061896907116,5128.65441016076
1767.7857848387625,4953.880564018225,1759.4789816691625,4960.473489035566
1596.1542055043983,3088.565606456847,1585.330232033745,2930.5321114409035
1780.4583812294577,4966.646022926415,1770.4504057588094,4955.644638125887
3147.7074222857295,6940.610439680295,3378.6844247930767,7110.430258749366
3033.275075306188,5362.128975174081,3060.687714000701,5368.6964884889985
4195.542030534239,5928.831899921814,3998.725885475771,5693.123614893101
4204.227499442403,5818.397660790047,4079.6078833140114,5802.428445028321
4541.213653888103,4914.052269479732,4522.8469538064855,4886.573748593753
3527.227433266095,3771.447383707393,3526.281553231487,3779.100384557881
4358.330337425644,4596.946223171021,4376.002137249664,4617.704133078105
4364.85518417847,4461.480202254406,4397.64506459543,4408.350920708528
4449.568702037495,5384.584763272639,4532.994693640457,5430.253043497442
3142.443435187659,5447.16908046794,3000.978997600496,5510.846414592121
3181.5021629848948,5438.941963377541,3141.97661280242,5439.1860412106835
2603.2497763485876,5506.532072225313,2653.3679280197844,5483.670951786883
3738.598836767557,5041.715329129095,3796.0352450116543,4974.9361986857875
3180.5405967142237,5439.856157215301,3203.4239916078636,5431.560648135666
3722.940208479881,5053.660397891182,3732.448263607197,4859.151384432881
3132.3110678650296,5410.337170742228,3182.2140043774402,5444.97049762133
1685.500496322313,5202.848738115838,1696.5533319771275,5270.197592652959
2648.795390207377,5497.063860137598,2592.9806250474876,5573.262575336825
3099.279933137419,5556.743086414004,3132.997497555153,5622.669199340197
1681.6349371692716,4848.889762525092,1701.4193592662764,5272.529822230827
3126.426846993022,5193.183820627891,3126.426846993022,5193.183820627891
3130.986835816579,5401.82958375102,3134.659297403683,5413.26610473994
2902.5466114053643,4594.813522515876,2949.483908127676,4602.40566077044
2484.753753054527,6004.258224857292,2413.61275094914,5957.575986333367
2716.2185975034376,5679.001610290171,2635.929539388384,5692.976164274107
2699.1212276440497,4618.39589608849,2722.9774828983263,4588.039264609645
2745.3815064178766,5111.878921865387,2794.4536998683825,5145.406055377315
2534.1646123416363,5503.340864360626,2503.63605971554,5506.599836765106
2747.322207543609,5120.151215315649,2777.6085646848906,5149.871926784494
1723.786520131078,5373.5912215901435,1727.9149806005378,5516.28389146105
2388.085127242335,4596.195479913039,2405.564613812221,4595.719873235605
1670.6009249977328,5441.636858733189,1698.329327624197,5294.816198979905
2083.17465888564,5493.10465415526,2078.427062678768,5491.1871686589
2010.2760140293774,5468.588322087446,2062.378317700202,5465.644956752557
2224.8762723620775,4831.313335016336,2212.9743407491646,4814.541611417619
2248.7704883076267,4834.518660493479,2238.1609456839565,4811.538324660969
2324.0578331915854,4906.384209842623,2300.029499927696,4940.954164328029
2017.34140847694,5106.287406158318,2089.2911929137426,5132.497224271509
2083.548775615746,5000.196058342995,2089.35252609675,4981.593437270987
2191.294080161568,5043.2485018419075,2092.1920485489004,5131.423972000069
2105.895544373666,5026.832855801824,2090.035034227857,5128.7102531611445
2209.2791341197694,5036.834713640408,2209.2791341197694,5036.834713640408
2105.0749973652028,5154.169955465795,2182.4879840980784,5150.554591777961
6927.777216232314,4115.578618679856,6924.639341570241,4111.360589802476
6999.708647772922,4598.03641657741,6987.283893912025,4562.108347773657
6460.953576094176,3658.945698662503,6488.400097058586,3650.694738493288
4021.3761829015125,3890.0566616258293,4023.524256068,3883.3075016973
3901.6773390261296,3817.410251445462,3901.570045171458,3812.9983406903416
6969.3168791252965,3047.398334808003,6948.79677255693,3038.7784343665826
7285.17430104338,2400.3421952397175,7281.993132369774,2412.0243626853858
4940.391028453361,2504.764841262644,4942.251416050451,2526.351611883304
2662.4973174085358,2331.249972426538,2686.975061335634,2332.3031463158177
4959.045414104377,2791.2260999360296,4955.516952164333,2791.749392771096
6547.298148779048,6939.818598483827,6539.765618221524,6908.077186085328
5457.3199575491235,4105.103350236886,5450.2931512422765,4111.020512204627
6500.072539037895,1989.759358432945,6498.798816669567,1999.4198837747947
4957.760711370805,2779.721186957875,4960.063137100155,2792.541861417006
2831.8192553449626,6015.186511797765,2829.1968303999256,6015.665255722412
5031.3260212597515,4198.608375959863,5039.604275479717,4212.9364977046625
5039.181060830733,4213.480496371332,5032.709861005243,4195.5589716691875
3941.940142303573,3780.5563809892624,3923.0583062296414,3782.60280734606
3954.8301499261033,3790.073534133495,3974.3027296501723,3798.170769189291
1598.2309062967984,3553.206036259715,1596.8448704782586,3551.869255222414
4024.8328018803877,3943.2113548741304,4023.3498251229776,3945.2781733378106
6970.220406322534,3231.257962603033,6977.531447226845,3245.425143565825
2421.8720248234686,5146.647777824074,2414.4615331825166,5152.879291962519
3807.516942360435,4152.243940578577,3801.7704466410623,4136.935742804552
5058.940698674758,4244.875556677557,4984.148097676231,4227.62163818226
4946.743954058936,2750.47733706535,4942.766238318043,2696.7162139308484
6365.256242019014,4560.823958764807,6364.845890083603,4566.152886880179
3955.0444239107255,3791.2697664956704,4019.1917176673587,3795.964343224649
4018.8434832267567,3794.7612089186055,4063.4673738544757,3777.1672128254586
6513.069526790376,2413.7274173347614,6509.5244374401045,2448.4776066725326
6930.211092619871,4488.056764566753,6929.787564246166,4498.06426945032
7113.066173857417,3549.3387516207067,7142.966649591545,3548.4876164519205
6925.919965882436,4489.187114737464,6844.201577937309,4605.568319685491
5899.925304104647,5726.576081921367,5858.91646344004,5799.910490415465
3945.9542501121323,4131.827676892949,3933.3945946210915,4140.216048490077
5680.216979860344,7265.267840029804,5675.222482297838,7267.948304048275
6566.081475290502,3775.807529883505,6569.276447851844,3772.8274587562287
5040.270626787679,2873.062448376352,4987.136325646261,2932.9700662498376
6955.316599714216,3482.948639831765,7014.422964649596,3533.058634660209
4420.61034164132,3551.1172570655463,4440.6360180489755,3532.255499373776
6499.97465692486,2679.536020745047,6504.70437082262,2667.7453045458224
7108.897399761275,4494.4614547513365,6925.974553983936,4932.405793123056
7119.298629170026,3493.583280433136,7139.813716142852,3542.35931774677
5325.894397317654,4163.24187440717,5342.860630243554,4151.646294984571
5127.746804542146,2797.2511832078844,5123.663677294909,2752.877644907733
1638.043985186311,3286.7251207717627,1633.7941132497224,3322.6494248788604
4405.345437878828,3533.6217705348763,4423.447040570979,3550.384082391955
6888.365861848378,4912.7261550829535,6919.415824961214,4933.347908461009
7263.003374991728,3513.247232237176,7237.382104455626,3465.6784076509616
6577.0543111413945,1542.708532577126,6641.509682574308,1522.7150129533995
4504.626449444977,5047.051159188335,4544.611292619381,5082.351464824841
5460.236970007427,4030.870747865814,5430.74182661317,4074.522405582339
7085.085693417418,4512.3741951612865,6926.615179864755,4933.297712505607
7213.435496481627,3494.272847370472,7261.661888083608,3457.21976171627
5918.403690187034,5031.065943465825,5925.258575346629,5151.6287852235655
3968.703684549793,5502.018828385225,4124.815615648001,5409.510819826422
5336.016411724481,3613.8913777172115,5315.360776076529,3613.39914362955
4069.3064183666215,5484.992987762285,3723.0757375594667,5724.105186016701
